[13:48:43:212500 12-06-2020][INFO] @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@ 
[13:48:43:213900 12-06-2020][INFO] Applicacao inicializada - application\core\Application::__construct 
[13:48:43:214600 12-06-2020][INFO] Configuracao inicializada 
[13:48:43:215000 12-06-2020][INFO] Constantes fundamentais registradas 
[13:48:43:216200 12-06-2020][INFO] Controladora mae inicializada - application\core\Controller::__construct 
[13:48:43:217700 12-06-2020][INFO] Controle de acesso inicializado - application\core\Access::__construct 
[13:48:43:218700 12-06-2020][INFO] Rota inicializado - application\core\Route::__construct 
[13:48:43:219100 12-06-2020][PROC] URL bruta '/new/' 
[13:48:43:219400 12-06-2020][PROC] URL (fixed-A) '/new/' 
[13:48:43:219700 12-06-2020][PROC] URL (fixed-B) '/' 
[13:48:43:220800 12-06-2020][INFO] Parametros da Rota => method='GET' | raw_url='/new/' | platform='' | url='/' | parameters[0]='' 
[13:48:43:221200 12-06-2020][INFO] Execucao da aplicacao - application\core\Application::Run 
[13:48:43:221500 12-06-2020][INFO] Execucao da controladora mae - application\core\Controller::Run 
[13:48:43:221800 12-06-2020][INFO] URL (ROTA) SOLICITADA >>> '/' <<< 
[13:48:43:249900 12-06-2020][INFO] Controladoras encontradas: 26 
[13:48:43:251200 12-06-2020][PROC] URL bruta '/admin' 
[13:48:43:251700 12-06-2020][PROC] URL (fixed-A) '/admin' 
[13:48:43:252000 12-06-2020][PROC] URL (fixed-B) 'in' 
[13:48:43:253200 12-06-2020][PROC] URL bruta '/admin/users' 
[13:48:43:253600 12-06-2020][PROC] URL (fixed-A) '/admin/users' 
[13:48:43:254000 12-06-2020][PROC] URL (fixed-B) 'in/users' 
[13:48:43:254500 12-06-2020][PROC] URL bruta '/admin/users/create' 
[13:48:43:254900 12-06-2020][PROC] URL (fixed-A) '/admin/users/create' 
[13:48:43:255100 12-06-2020][PROC] URL (fixed-B) 'in/users/create' 
[13:48:43:255500 12-06-2020][PROC] URL bruta '/admin/users/create' 
[13:48:43:255800 12-06-2020][PROC] URL (fixed-A) '/admin/users/create' 
[13:48:43:256200 12-06-2020][PROC] URL (fixed-B) 'in/users/create' 
[13:48:43:256500 12-06-2020][PROC] URL bruta '/admin/users/:id' 
[13:48:43:256700 12-06-2020][PROC] URL (fixed-A) '/admin/users/:id' 
[13:48:43:257200 12-06-2020][PROC] URL (fixed-B) 'in/users/:id' 
[13:48:43:257500 12-06-2020][PROC] URL bruta '/admin/users/:id/delete' 
[13:48:43:257800 12-06-2020][PROC] URL (fixed-A) '/admin/users/:id/delete' 
[13:48:43:258400 12-06-2020][PROC] URL (fixed-B) 'in/users/:id/delete' 
[13:48:43:259100 12-06-2020][PROC] URL bruta '/admin/users/:id/edit' 
[13:48:43:259700 12-06-2020][PROC] URL (fixed-A) '/admin/users/:id/edit' 
[13:48:43:260300 12-06-2020][PROC] URL (fixed-B) 'in/users/:id/edit' 
[13:48:43:260900 12-06-2020][PROC] URL bruta '/admin/users/:id/edit' 
[13:48:43:261400 12-06-2020][PROC] URL (fixed-A) '/admin/users/:id/edit' 
[13:48:43:261800 12-06-2020][PROC] URL (fixed-B) 'in/users/:id/edit' 
[13:48:43:263100 12-06-2020][PROC] URL bruta '/admin/zzz' 
[13:48:43:263600 12-06-2020][PROC] URL (fixed-A) '/admin/zzz' 
[13:48:43:263900 12-06-2020][PROC] URL (fixed-B) 'in/zzz' 
